N,param,value,true_value
10,α,-0.13952305851882058,0.35391676225683355
10,α,-0.5427442905818898,0.8226606513084904
10,α,-0.34175428723477574,0.9610424583212677
10,α,0.1596277174988744,0.5739229897837997
10,α,-0.10671708452897727,0.6035882885587778
10,α,0.32272436491888457,0.5835414440249678
10,α,-0.031013079161669288,0.30021077753558073
10,α,0.4086437785524677,0.5228740971270451
10,α,-0.42714407337359594,0.6610878689058568
10,α,0.680138426855711,0.21150391312499228
10,α,0.39784517895134863,0.19062783712330025
10,α,0.3174964840330588,0.346897027805322
10,α,0.3956144523151992,0.21329272669264643
10,α,-0.059579096808499044,0.3459202166557851
10,α,0.3609557228376088,0.20751324815349168
10,α,0.13094211411346057,0.4689961898725138
10,α,0.027757222441227247,0.7842906811125567
10,α,-0.1442439588151928,0.8630368934929371
10,α,0.38562782517740224,0.46160969046092637
10,α,0.11328971446797514,0.40113707389010705
10,α,0.06338871519051137,0.5100282705699688
10,α,-0.7740303892709318,0.851365071425392
10,α,-0.30651122456683766,0.6671904859545429
10,α,-0.277895759852649,0.7985759649038554
10,α,-0.14396435834616345,0.5214217728385397
10,α,-0.09038315716644452,0.6952835577409702
10,α,0.08555961172149062,0.44135240563011424
10,α,-0.0828135219667992,0.40868716124078064
10,α,-0.2653041056321329,0.609399380116693
10,α,-0.5829411167603724,0.7724011465730148
10,α,-0.15976912214123756,0.40188019389972407
10,α,0.6594781021028777,0.10858378468795014
10,α,-0.222425553485113,0.7030516257412653
10,α,0.14300321348218337,0.5147589010856712
10,α,-0.030725326834607047,0.5376608200298358
10,α,0.03108858129277403,0.7651113289635619
10,α,0.2783485365244259,0.3222385161914839
10,α,-0.05742262037510676,0.413975816793882
10,α,-0.360505457573671,0.6170054795329547
10,α,0.5593790105148511,0.17060333450144946
10,α,-0.15419267300734008,0.6432774987832998
10,α,0.15895750109722895,0.6224175513874401
10,α,-0.08381727050206178,0.6873368550185648
10,α,-0.11872322462134488,0.4190260884561799
10,α,-0.17299669007086693,0.7879897709023901
10,α,-0.11130612599143708,0.2574399461266078
10,α,0.30433456470918996,0.3531745994653568
10,α,0.03523905093939894,0.46005059624042427
25,α,0.09220486729517902,0.45155582612613393
25,α,0.48318391894701235,0.22873242611226569
25,α,0.07650479472174343,0.6659094996350003
25,α,0.05583964134784403,0.5764895880537777
25,α,0.3438979025968385,0.35462123186722894
25,α,0.3641100580307874,0.2884759163857143
25,α,0.06850392271961153,0.3527517589119488
25,α,-0.04404314717298577,0.1975795599328576
25,α,0.2212487899735569,0.4427452459613658
25,α,-0.24107953240753432,0.5898198355235272
25,α,0.4230129903690977,0.4623467755582189
25,α,0.3254104888704092,0.2872511452281134
25,α,-0.07904746949697938,0.457478592972097
25,α,-0.07503915062098057,0.307702858836017
25,α,-0.4678168231229494,0.5614382273899329
25,α,-0.0881140059614417,0.8413413173645636
25,α,-0.08077474886596026,0.6059907698985457
25,α,-0.18147745666059323,0.7198451973847323
25,α,0.0325258375310713,0.1621592163961988
25,α,-0.19832108656578518,0.8050856097262281
25,α,0.003541658350150745,0.31052551303161774
25,α,0.33983151739934603,0.5612466002731924
25,α,-0.2984961517729759,0.6923196405247344
25,α,0.1832127550895829,0.43628288833459195
25,α,0.13614756689254387,0.42695884134465906
25,α,-0.2791640320871786,0.42455068158755804
25,α,-0.263481342509323,0.8908893996382868
25,α,-0.18189598081507352,0.8815892512795783
25,α,0.21660524473589615,0.34185432361650414
25,α,0.07623228538175264,0.6764203223726799
25,α,0.10387719375261428,0.5673451498581432
25,α,0.22148758646629457,0.4409184663513354
25,α,0.27748670719359547,0.2998291599016466
25,α,-0.10881545717848418,0.4945925711248712
25,α,0.24099741226502247,0.4584998002698617
25,α,-0.06095490238988299,0.2843123465374642
25,α,0.2686240756462225,0.3088383453308181
